frame,x,y,H,S,V,B,G,R
1453,1518,655,1,239,156,10,13,156
1455,1538,617,0,244,138,6,7,138
1457,1518,595,0,245,122,5,5,122
1459,1514,584,0,249,124,3,5,124
1461,1509,584,0,240,134,8,8,134
1463,1373,553,0,235,153,12,14,153
1465,1352,531,0,228,143,15,15,143
1467,1266,478,0,246,117,4,5,117
1469,1298,484,0,249,91,2,2,91
1471,1334,484,1,242,98,5,7,98
1473,1310,410,0,255,86,0,1,86
1475,1282,317,0,230,104,11,10,104
1477,1267,212,0,221,112,15,16,112
1479,1241,133,1,217,106,16,19,106
1481,1235,107,0,251,66,1,2,66
1483,1163,92,0,251,64,1,2,64
1485,1064,126,0,235,78,6,7,78
1487,1005,133,0,246,89,3,4,89
1489,939,126,0,231,95,9,10,95
1491,899,112,1,232,99,9,12,99
1493,847,101,0,217,94,15,14,94
1495,764,90,0,235,77,7,6,77
1497,721,96,0,251,66,1,2,66
1499,689,109,179,220,173,27,24,173
1501,673,204,179,210,108,22,19,108
1503,746,342,177,189,112,37,29,112
1505,772,387,176,192,114,39,28,114
1507,784,433,176,188,107,38,28,107
1509,766,484,0,230,80,8,9,80
1511,761,566,179,216,92,17,14,92
1513,843,701,179,219,99,16,14,99
1515,943,815,1,238,88,6,8,88
1517,1084,867,0,231,95,9,10,95
1519,1224,727,0,241,91,5,6,91
1521,1214,520,0,241,91,5,6,91
1523,1039,422,0,241,89,5,6,89
1525,912,466,0,238,92,6,7,92
1527,905,615,0,217,94,15,14,94
1529,1011,711,0,225,95,11,12,95
1531,1066,679,0,228,96,10,11,96
1533,1077,653,0,229,98,10,10,98
1535,1076,618,0,229,98,10,10,98
1537,1062,577,0,229,98,10,10,98
1539,1025,526,0,231,97,9,9,97
1541,968,506,0,231,95,9,10,95
1543,896,496,179,233,91,10,8,91
1545,766,493,0,232,88,9,8,88
1547,726,497,0,234,87,8,7,87
1549,707,508,0,232,88,9,8,88
1551,683,532,0,229,89,10,9,89
1553,691,560,179,233,91,10,8,91
1555,710,585,0,230,93,9,10,93
1557,715,592,0,230,93,9,10,93
1559,709,603,0,228,96,10,11,96
1561,681,621,0,228,94,10,11,94
1563,648,615,0,231,95,9,10,95
1565,567,562,0,220,103,14,14,103
1567,478,549,1,233,102,9,11,102
1569,413,567,0,223,111,14,15,111
1571,382,581,0,221,112,15,16,112
1573,323,608,1,223,113,14,17,113
1575,291,633,0,216,111,18,17,111
1577,259,665,1,216,112,17,19,112
1579,250,696,0,209,112,21,20,112
1581,264,751,0,207,116,23,22,116
1583,273,770,0,202,116,25,24,116
1585,325,805,0,205,117,24,23,117
1587,388,802,0,204,115,24,23,115
1589,394,774,0,206,114,23,22,114
1591,447,715,0,208,109,20,20,109
1593,497,666,0,208,109,20,20,109
1595,530,636,0,210,108,19,19,108
1597,553,610,0,209,112,21,20,112
1599,581,569,0,212,107,18,18,107
1600,629,552,0,210,107,19,19,107
1602,700,541,0,210,107,19,19,107
1604,751,542,0,210,107,19,19,107
1606,821,552,0,208,108,20,20,108
1608,823,557,0,202,111,23,23,111
1610,915,524,179,210,108,22,19,108
1612,955,503,179,202,111,26,23,111
1695,1163,203,178,207,116,28,22,116
1696,1163,198,178,205,117,29,23,117
1698,1159,197,178,203,118,30,24,118
1700,1167,197,179,201,119,29,25,119
1702,1170,198,179,204,121,26,24,121
1704,1183,219,178,206,120,28,23,120
1706,1183,219,178,200,120,32,26,120
1708,1164,186,178,206,120,30,23,120
1710,1163,178,178,205,117,29,23,117
1712,1158,167,179,199,118,30,26,118
1714,1152,160,178,208,119,27,22,119
1716,1165,172,178,205,117,29,23,117
1718,1170,201,178,201,123,31,26,123
1720,1167,207,178,206,120,28,23,120
1803,927,245,178,193,128,38,31,128
1805,914,250,178,192,129,37,32,129
1807,902,257,178,196,129,37,30,129
1809,890,263,178,196,126,36,29,126
1811,884,265,2,195,141,33,39,141
1813,893,285,16,157,104,40,74,104
1815,955,324,179,195,123,33,29,123
1817,977,364,179,200,120,30,26,120
1819,1041,403,179,200,120,30,26,120
1821,1061,410,179,200,120,30,26,120
1823,1067,439,178,206,120,28,23,120
1825,1079,452,179,206,120,25,23,120
1827,1086,473,179,208,119,24,22,119
1829,1084,490,179,203,122,27,25,122
1831,1088,503,179,205,123,26,24,123
1833,1089,514,178,201,123,31,26,123
1835,1090,514,179,199,118,30,26,118
1837,1105,529,179,201,117,29,25,117
1839,1113,533,0,196,126,29,30,126
1841,1118,510,12,64,208,156,176,208
1843,1093,419,11,70,183,133,151,183
1899,1054,509,179,204,106,23,21,106
1901,1041,495,179,208,108,23,20,108
1903,1022,479,179,208,108,23,20,108
1905,1016,467,0,206,110,21,21,110
1907,1012,455,0,206,110,21,21,110
1909,1004,429,0,206,110,21,21,110
1911,992,416,0,206,110,21,21,110
1913,987,410,0,199,118,27,26,118
1915,987,408,0,203,112,23,23,112
1917,1002,416,0,204,115,24,23,115
1919,1019,424,0,207,116,23,22,116
1921,1033,452,179,209,112,24,20,112
1923,1043,480,0,210,114,21,20,114
1925,1051,501,179,207,116,26,22,116
1927,1053,533,179,206,120,25,23,120
1929,1053,535,179,206,120,25,23,120
1931,1053,528,0,207,122,23,24,122
1933,1059,500,179,204,124,27,25,124
1935,1077,468,0,202,126,26,26,126
1937,1088,450,0,199,128,28,28,128
1939,1103,466,179,204,124,27,25,124
1941,1112,473,179,204,121,26,24,121
1943,1118,479,179,206,120,25,23,120
1945,1135,483,179,207,122,25,23,122
1947,1138,483,179,205,123,26,24,123
1949,1141,487,179,208,124,26,23,124
1951,1147,493,0,206,124,24,24,124
1953,1149,496,0,206,124,24,24,124
1955,1150,497,179,206,125,27,24,125
1957,1145,509,0,207,123,23,23,123
